fixture_id,id,type_id,participant_id,data_value,location
686,52391060,84,18,2,away
691,21619968,34,9,13,away
691,21620081,45,9,67,away
691,21619939,45,15,33,home
691,21619858,34,15,2,home
691,22501376,52,9,2,away
691,22501375,52,15,3,home
691,52391056,84,9,1,away
691,52391055,84,15,1,home
697,21664146,52,11,1,home
697,21664167,45,11,49,home
697,21664185,52,69,2,away
697,21664113,34,11,11,home
697,21664215,45,69,51,away
697,21664199,34,69,10,away
697,52391059,84,69,1,away
697,52391057,84,11,1,home
703,21664094,34,22,7,home
703,21664073,45,22,41,home
703,21664117,34,1,11,away
703,21664135,45,1,59,away
703,22501377,52,22,1,home
703,22501378,52,1,0,away
703,52391062,84,1,2,away
703,52391061,84,22,1,home
709,21620119,45,10,41,away
709,21620001,34,10,8,away
709,21619976,45,14,59,home
709,21619881,34,14,5,home
709,52391080,84,10,2,away
709,52391079,84,14,3,home
716,21664082,52,65,2,home
716,21664121,45,51,39,away
716,21664049,52,51,0,away
716,21664066,45,65,61,home
716,21664034,34,65,10,home
716,21664102,34,51,2,away
716,52391076,84,51,2,away
716,52391074,84,65,1,home
721,21619796,45,30,60,home
721,21619871,34,30,4,home
721,21619987,34,19,3,away
721,21620109,45,19,40,away
721,52391066,84,19,2,away
721,52391064,84,30,3,home
729,21619695,45,26,55,home
729,21619779,34,26,7,home
729,21619903,34,33,3,away
729,21620063,45,33,45,away
729,22501381,52,33,1,away
729,22501382,52,26,0,home
729,52391063,84,26,2,home
729,52391065,84,33,1,away
735,21620057,45,8,56,away
735,21619714,45,3,44,home
735,21619805,34,3,10,home
735,21619927,34,8,8,away
735,22501383,52,8,3,away
735,22501384,52,3,1,home
735,52391067,84,3,2,home
735,52391068,84,8,1,away
740,21619832,52,13,3,home
740,21619921,45,13,50,home
740,21619953,52,20,2,away
740,21620099,45,20,50,away
740,21619797,34,13,1,home
740,21619981,34,20,1,away
740,52391069,84,13,3,home
740,52391071,84,20,1,away
747,21620126,45,13,47,away
747,21619860,52,9,3,home
747,21620015,34,13,1,away
747,21619955,45,9,53,home
747,21619825,34,9,8,home
747,21619983,52,13,1,away
747,52391070,84,9,5,home
747,52391072,84,13,4,away
754,21619815,34,20,3,away
754,21619644,45,69,49,home
754,21619722,34,69,3,home
754,21619992,45,20,51,away
754,22501387,52,69,1,home
754,22501388,52,20,2,away
754,52391077,84,69,1,home
754,52391078,84,20,0,away
760,21619934,45,26,48,away
760,21619795,34,26,5,away
760,21619767,45,11,52,home
760,21619705,34,11,7,home
760,52391073,84,11,3,home
760,52391075,84,26,2,away
766,21619778,34,15,7,away
766,21619963,45,15,56,away
766,21619660,34,22,7,home
766,21619749,45,22,44,home
766,52391087,84,15,1,away
766,52391085,84,22,2,home
768,22501389,52,47,1,home
768,22501391,52,1,2,away
772,21619536,45,8,60,home
772,21619703,34,51,3,away
772,21619601,34,8,10,home
772,21619848,45,51,40,away
772,22501390,52,51,1,away
772,22501392,52,8,3,home
772,52391084,84,51,1,away
772,52391083,84,8,2,home
780,21619739,34,14,4,away
780,21619631,34,3,4,home
780,21619712,45,3,38,home
780,21619928,45,14,62,away
780,22501394,52,3,1,home
780,22501393,52,14,2,away
780,52391094,84,14,4,away
780,52391093,84,3,2,home
787,21620115,45,18,59,away
787,21619831,52,18,3,away
787,21619962,52,33,1,home
787,21619789,34,33,4,home
787,21619925,45,33,41,home
787,21619990,34,18,6,away
787,52391091,84,18,1,away
787,52391089,84,33,1,home
793,21619609,34,65,7,home
793,21619919,45,30,60,away
793,21619535,45,65,40,home
793,21619752,34,30,4,away
793,22501397,52,65,2,home
793,22501398,52,30,0,away
793,52391098,84,30,1,away
793,52391096,84,65,3,home
797,22501396,52,10,3,home
797,22501395,52,47,2,away
799,21620045,45,1,38,away
799,21619853,45,6,62,home
799,21619727,34,6,6,home
799,21619907,34,1,7,away
799,21619754,52,1,3,away
799,21619889,52,6,0,home
807,21619964,45,19,55,away
807,21619616,34,10,6,home
807,21619735,45,10,45,home
807,21619641,52,10,1,home
807,21619760,52,19,1,away
807,21619793,34,19,2,away
807,52391101,84,10,1,home
807,52391103,84,19,2,away
812,21619663,52,20,2,home
812,21619639,45,20,37,home
812,21619687,34,8,13,away
812,21619579,52,8,2,away
812,21619555,34,20,3,home
812,21619879,45,8,63,away
812,52391108,84,8,3,away
812,52391107,84,20,2,home
820,21619619,34,19,10,home
820,21619886,45,33,48,away
820,21619698,45,19,52,home
820,21619733,34,33,1,away
820,22501404,52,19,4,home
820,22501402,52,33,1,away
827,21664086,34,69,9,away
827,21664159,45,69,28,away
827,21664008,34,18,6,home
827,21663962,45,18,72,home
827,22501401,52,69,1,away
827,22501403,52,18,4,home
827,52391102,84,18,1,home
827,52391104,84,69,2,away
833,21663980,34,22,7,away
833,21663961,34,13,5,home
833,22501406,52,13,2,home
833,22501405,52,22,1,away
833,52391099,84,13,3,home
833,52391100,84,22,1,away
840,21619906,45,65,49,away
840,21619700,45,14,51,home
840,21619584,34,14,4,home
840,21619607,52,14,1,home
840,21619734,52,65,1,away
840,21619751,34,65,4,away
840,52391111,84,65,3,away
840,52391109,84,14,2,home
848,21663982,34,26,6,home
848,21664010,34,10,6,away
848,52391106,84,10,0,away
848,52391105,84,26,1,home
849,14959145,83,14,0,home
849,14959160,34,14,1,home
849,14959245,45,14,50,home
849,14959257,84,14,2,home
849,14959349,34,6,2,away
849,14959360,45,6,50,away
849,14959372,84,6,3,away
849,14959381,83,6,0,away
849,22501407,52,6,0,away
849,22501408,52,14,1,home
855,21664081,34,3,2,away
855,21664041,52,3,0,away
855,21664052,52,30,4,home
855,21664022,34,30,7,home
855,52391116,84,3,2,away
855,52391114,84,30,1,home
856,14959201,34,52,6,home
856,14959210,83,52,0,home
856,14959267,45,52,58,home
856,14959274,84,52,3,home
856,14959373,34,15,3,away
856,14959382,45,15,42,away
856,14959400,84,15,4,away
856,14959406,83,15,0,away
862,21620038,45,9,62,away
862,21619766,34,1,5,home
862,21619917,34,9,5,away
862,21619884,52,9,3,away
862,21619691,45,1,38,home
862,21619741,52,1,1,home
862,52391124,84,9,2,away
862,52391123,84,1,1,home
864,14959209,45,33,62,home
864,14959246,84,33,1,home
864,14959293,34,33,1,home
864,14959313,83,33,0,home
864,14959398,34,51,4,away
864,14959407,45,51,38,away
864,14959416,84,51,0,away
864,14959421,83,51,0,away
864,22501411,52,33,1,home
864,22501412,52,51,3,away
870,21619461,45,15,37,home
870,21619572,34,6,7,away
870,21619501,34,15,4,home
870,21619683,45,6,63,away
870,22501409,52,15,0,home
870,22501410,52,6,2,away
870,52391126,84,15,3,home
870,52391127,84,6,4,away
871,14959123,45,42,44,home
871,14959153,84,42,2,home
871,14959199,34,42,6,home
871,14959223,83,42,0,home
871,14959315,34,3,3,away
871,14959322,45,3,56,away
871,14959340,84,3,4,away
871,14959348,83,3,0,away
871,22501413,52,3,2,away
871,22501414,52,42,4,home
878,21619624,52,51,1,home
878,21619770,45,11,55,away
878,21619488,45,51,45,home
878,21619506,52,11,4,away
878,21619645,34,11,7,away
878,21619542,34,51,5,home
878,52391130,84,51,0,home
878,52391132,84,11,1,away
879,14959044,45,13,66,home
879,14959079,84,13,1,home
879,14959107,34,13,8,home
879,14959122,83,13,0,home
879,14959202,34,25,2,away
879,14959211,45,25,34,away
879,14959226,84,25,2,away
879,14959237,83,25,0,away
879,22501415,52,13,2,home
879,22501416,52,25,2,away
881,22501417,52,10,1,home
881,22501418,52,9,2,away
887,21619563,34,51,4,home
887,21619533,52,19,2,away
887,21619665,52,51,0,home
887,21619685,34,19,3,away
887,21619493,45,51,46,home
887,21619822,45,19,54,away
887,52391131,84,19,0,away
887,52391129,84,51,0,home
888,14959181,84,18,1,home
888,14959205,45,18,52,home
888,14959261,34,18,4,home
888,14959280,83,18,1,home
888,14959362,34,30,8,away
888,14959370,45,30,48,away
888,14959389,84,30,3,away
888,14959397,83,30,0,away
888,22501419,52,18,2,home
888,22501420,52,30,2,away
895,21664028,34,13,6,away
895,21664004,34,15,8,home
895,52391143,84,15,0,home
895,52391144,84,13,2,away
896,14959227,34,20,6,home
896,14959258,83,20,0,home
896,14959351,84,20,2,home
896,14959343,45,20,56,home
896,14959425,34,65,6,away
896,14959430,45,65,44,away
896,14959439,84,65,4,away
896,14959443,83,65,0,away
896,22403591,52,20,2,home
896,22403596,52,65,2,away
903,21619477,34,8,3,home
903,21619532,34,10,9,away
903,21619684,45,10,47,away
903,21619412,45,8,53,home
903,22501421,52,10,1,away
903,22501422,52,8,4,home
903,52391145,84,8,0,home
903,52391146,84,10,2,away
905,14959118,34,19,5,home
905,14959141,83,19,0,home
905,14959220,45,19,61,home
905,14959232,84,19,1,home
905,14959350,34,1,4,away
905,14959358,45,1,39,away
905,14959374,84,1,3,away
905,14959383,83,1,0,away
905,22501426,52,19,0,home
905,22501425,52,1,2,away
910,21619864,45,26,35,away
910,21619742,34,26,2,away
910,21619627,34,14,12,home
910,21619717,45,14,65,home
910,22501423,52,26,2,away
910,22501424,52,14,3,home
910,52391147,84,14,2,home
910,52391148,84,26,6,away
915,14959399,45,26,47,home
915,14959419,84,26,2,home
915,14959442,34,26,3,home
915,14959450,83,26,0,home
915,14959480,34,8,5,away
915,14959483,45,8,53,away
915,14959490,84,8,4,away
915,14959492,83,8,0,away
922,21663965,34,33,13,home
922,21663994,34,69,2,away
922,52391162,84,69,1,away
922,52391161,84,33,1,home
923,14959166,34,10,6,home
923,14959176,83,10,0,home
923,14959236,45,10,30,home
923,14959249,84,10,4,home
923,14959356,34,9,6,away
923,14959368,45,9,70,away
923,14959386,84,9,1,away
923,14959394,83,9,0,away
923,22501427,52,9,3,away
923,22501428,52,10,0,home
930,21619448,45,65,66,home
930,21619490,34,65,10,home
930,21619674,45,11,34,away
930,21619566,34,11,3,away
930,22501430,52,11,0,away
930,22501429,52,65,2,home
930,52391163,84,65,0,home
930,52391164,84,11,2,away
931,14959420,45,15,45,home
931,14959449,84,15,2,home
931,14959464,34,15,3,home
931,14959469,83,15,0,home
931,14959500,34,14,5,away
931,14959502,45,14,55,away
931,14959506,84,14,2,away
931,14959508,83,14,0,away
931,22501434,52,15,0,home
931,22501433,52,14,1,away
935,22501432,52,19,1,home
935,22501431,52,47,0,away
939,14959270,34,65,9,home
939,14959277,83,65,0,home
939,14959334,45,65,54,home
939,14959342,84,65,4,home
939,14959423,34,13,9,away
939,14959428,45,13,46,away
939,14959438,84,13,2,away
939,14959441,83,13,0,away
939,22403573,52,65,0,home
939,22403571,52,13,3,away
948,21619775,34,9,6,away
948,21619950,45,9,55,away
948,21619576,45,18,45,home
948,21619648,34,18,3,home
948,22501435,52,18,2,home
948,22501436,52,9,1,away
948,52391176,84,9,3,away
948,52391175,84,18,2,home
949,14958796,34,1,8,home
949,14958799,83,1,1,home
949,14958829,45,1,69,home
949,14958838,84,1,1,home
949,14958904,34,42,4,away
949,14958911,45,42,31,away
949,14958922,84,42,3,away
949,14958930,83,42,0,away
949,22501438,52,42,2,away
949,22501437,52,1,1,home
951,22501439,52,26,0,home
951,22501440,52,3,0,away
957,21619374,45,30,66,home
957,21619495,34,1,6,away
957,21619590,45,1,34,away
957,21619419,34,30,9,home
957,52391177,84,30,1,home
957,52391178,84,1,3,away
958,14958852,34,30,4,home
958,14958859,83,30,0,home
958,14958897,45,30,65,home
958,14958905,84,30,2,home
958,14959005,34,20,4,away
958,14959009,45,20,35,away
958,14959019,84,20,3,away
958,14959025,83,20,1,away
958,22501444,52,30,2,home
958,22501443,52,20,0,away
961,17278877,1605,29,25,away
961,17278883,34,5,7,home
961,17278824,45,29,56,away
961,17278821,45,5,44,home
961,17278830,1605,5,44,home
961,17278835,34,29,9,away
961,52391179,84,5,0,home
961,52391182,84,29,1,away
965,17278888,1605,22,50,away
965,17278895,34,6,6,home
965,17278808,1605,6,59,home
965,17278810,34,22,4,away
965,17278836,45,6,66,home
965,17278841,45,22,34,away
965,52391189,84,22,3,away
965,52391186,84,6,3,home
966,14958808,83,3,0,home
966,14958817,34,3,6,home
966,14958870,45,3,43,home
966,14958876,84,3,1,home
966,14958952,34,33,6,away
966,14958956,45,33,57,away
966,14958972,84,33,2,away
966,14958978,83,33,0,away
966,22501446,52,33,3,away
966,22501445,52,3,1,home
972,21619390,52,18,0,away
972,21619369,34,20,3,home
972,21619486,34,18,8,away
972,21619474,52,20,2,home
972,21619596,45,18,61,away
972,21619447,45,20,39,home
972,52391184,84,18,2,away
972,52391183,84,20,2,home
976,14959062,34,6,4,home
976,14959068,83,6,0,home
976,14959102,45,6,53,home
976,14959106,84,6,2,home
976,14959195,34,26,3,away
976,14959207,45,26,47,away
976,14959224,84,26,2,away
976,14959235,83,26,0,away
976,22403564,52,6,2,home
976,22403566,52,26,2,away
981,21619454,34,11,4,home
981,21619383,45,11,48,home
981,21619543,34,14,4,away
981,21619658,45,14,52,away
981,22501450,52,11,1,home
981,22501449,52,14,3,away
981,52391194,84,14,1,away
981,52391192,84,11,2,home
985,14958789,84,25,1,home
985,14958805,45,25,63,home
985,14958835,34,25,2,home
985,14958847,83,25,0,home
985,14958914,34,10,4,away
985,14958920,45,10,37,away
985,14958935,84,10,2,away
985,14958942,83,10,0,away
990,22501447,52,14,1,away
990,22501448,52,3,0,home
991,17278953,45,3,30,away
991,17278928,34,3,2,away
991,17278930,34,22,4,home
991,17278948,45,22,70,home
991,17278951,1605,22,45,home
991,17278955,52,22,1,home
991,17278998,1605,3,0,away
991,17279005,52,3,0,away
991,52391197,84,22,2,home
991,52391198,84,3,0,away
993,14958882,45,51,40,home
993,14958907,84,51,1,home
993,14958939,34,51,6,home
993,14958949,83,51,0,home
993,14959008,34,19,6,away
993,14959022,45,19,60,away
993,14959034,84,19,1,away
993,14959042,83,19,0,away
993,22501454,52,51,1,home
993,22501453,52,19,2,away
994,22501451,52,65,1,home
994,22501452,52,6,2,away
1000,21619489,34,9,10,home
1000,21619577,34,33,3,away
1000,21619709,45,33,31,away
1000,21619413,45,9,69,home
1000,22501455,52,33,0,away
1000,22501456,52,9,7,home
1000,52391196,84,33,1,away
1000,52391195,84,9,1,home
1001,14958976,83,9,0,home
1001,14958989,34,9,5,home
1001,14959041,45,9,49,home
1001,14959046,84,9,4,home
1001,14959109,34,18,1,away
1001,14959113,45,18,51,away
1001,14959126,84,18,2,away
1001,14959136,83,18,0,away
1001,22501460,52,18,0,away
1001,22501459,52,9,3,home
1008,21663941,34,65,5,away
1008,21663909,34,26,5,home
1008,21663879,45,26,43,home
1008,21663995,45,65,57,away
1008,22501462,52,26,1,home
1008,22501461,52,65,1,away
1008,52391203,84,26,3,home
1008,52391205,84,65,1,away
1012,14958994,34,8,6,home
1012,14959003,83,8,0,home
1012,14959039,45,8,54,home
1012,14959047,84,8,1,home
1012,14959121,34,52,8,away
1012,14959131,45,52,46,away
1012,14959149,84,52,4,away
1012,14959158,83,52,0,away
1012,22403502,52,8,1,home
1012,22403509,52,52,0,away
1018,21664145,45,51,49,away
1018,21664092,34,51,3,away
1018,21664019,52,10,2,home
1018,21663997,34,10,10,home
1018,21664075,52,51,0,away
1018,21664055,45,10,51,home
1018,52391209,84,10,0,home
1018,52391210,84,51,1,away
1020,14958960,45,14,69,home
1020,14958998,84,14,2,home
1020,14959024,34,14,11,home
1020,14959038,83,14,0,home
1020,14959093,34,20,5,away
1020,14959101,45,20,31,away
1020,14959114,84,20,2,away
1020,14959124,83,20,0,away
1020,22403523,52,14,0,home
1020,22403526,52,20,0,away
1022,22501464,52,11,2,home
1022,22501463,52,13,2,away
1026,21619487,34,15,1,away
1026,21619595,45,15,43,away
1026,21619340,45,1,57,home
1026,21619398,34,1,5,home
1026,52391207,84,1,0,home
1026,52391208,84,15,2,away
1028,14958690,34,51,6,home
1028,14958695,83,51,0,home
1028,14958721,45,51,49,home
1028,14958728,84,51,3,home
1028,14958762,34,15,4,away
1028,14958763,45,15,51,away
1028,14958767,84,15,3,away
1028,14958769,83,15,0,away
1034,21619836,45,8,46,away
1034,21619471,45,19,54,home
1034,21619661,34,8,5,away
1034,21619534,34,19,3,home
1034,22501465,52,19,2,home
1034,22501466,52,8,0,away
1034,52391206,84,8,1,away
1034,52391204,84,19,2,home
1036,14958399,34,1,5,home
1036,14958404,83,1,1,home
1036,14958447,45,1,45,home
1036,14958453,84,1,0,home
1036,14958537,34,52,4,away
1036,14958546,45,52,55,away
1036,14958560,84,52,1,away
1036,14958568,83,52,0,away
1036,22501470,52,52,4,away
1036,22501469,52,1,3,home
1040,22501467,52,15,1,away
1040,22501468,52,3,0,home
1044,21619293,34,13,7,home
1044,21619382,52,13,0,home
1044,21619359,45,13,51,home
1044,21619395,34,6,4,away
1044,21619314,52,6,0,away
1044,21619502,45,6,49,away
1044,52391223,84,13,4,home
1044,52391224,84,6,1,away
1047,14958576,34,33,9,home
1047,14958595,83,33,0,home
1047,14958662,45,33,42,home
1047,14958669,84,33,4,home
1047,14958725,34,26,0,away
1047,14958730,45,26,58,away
1047,14958739,84,26,1,away
1047,14958743,83,26,0,away
1047,22501471,52,26,1,away
1047,22501472,52,33,1,home
1052,21619203,45,69,46,home
1052,21619345,34,30,3,away
1052,21619269,34,69,6,home
1052,21619443,45,30,54,away
1052,52391225,84,69,1,home
1052,52391226,84,30,0,away
1054,14958501,83,3,0,home
1054,14958513,34,3,3,home
1054,14958579,45,3,39,home
1054,14958586,84,3,4,home
1054,14958652,34,30,4,away
1054,14958656,45,30,61,away
1054,14958675,84,30,2,away
1054,14958680,83,30,0,away
1054,22501474,52,3,1,home
1054,22501476,52,30,1,away
1059,22501473,52,17,1,away
1059,22501475,52,6,0,home
1060,22501477,52,17,2,home
1060,22501478,52,12,1,away
1061,21619538,34,69,3,away
1061,21619516,45,15,44,home
1061,21619451,34,15,5,home
1061,21619664,45,69,56,away
1061,52391227,84,15,1,home
1061,52391228,84,69,1,away
1062,14958792,34,42,2,home
1062,14958795,83,42,0,home
1062,14958836,45,42,34,home
1062,14958845,84,42,1,home
1062,14958919,34,6,7,away
1062,14958926,45,6,66,away
1062,14958941,84,6,4,away
1062,14958948,83,6,0,away
1068,21619199,45,18,68,home
1068,21619370,34,10,4,away
1068,21619485,45,10,32,away
1068,21619279,34,18,9,home
1068,22501479,52,18,2,home
1068,22501481,52,10,2,away
1068,52391244,84,10,7,away
1068,52391236,84,18,3,home
1071,14958584,34,10,8,home
1071,14958598,83,10,0,home
1071,14958651,45,10,43,home
1071,14958659,84,10,2,home
1071,14958716,34,18,7,away
1071,14958723,45,18,57,away
1071,14958732,84,18,1,away
1071,14958737,83,18,1,away
1071,22501480,52,10,2,home
1071,22501482,52,18,3,away
1075,22501483,52,47,1,home
1075,22501484,52,23,1,away
1078,21619327,52,51,0,home
1078,21619180,45,51,27,home
1078,21619339,34,13,7,away
1078,21619229,52,13,0,away
1078,21619453,45,13,73,away
1078,21619241,34,51,4,home
1078,52391229,84,51,1,home
1078,52391230,84,13,0,away
1081,14958323,45,13,45,home
1081,14958387,84,13,0,home
1081,14958432,34,13,8,home
1081,14958446,83,13,0,home
1081,14958529,34,9,7,away
1081,14958538,45,9,55,away
1081,14958552,84,9,3,away
1081,14958559,83,9,0,away
1087,21619205,34,8,9,home
1087,21619294,45,8,68,home
1087,21619228,52,8,4,home
1087,21619325,34,11,3,away
1087,21619416,45,11,32,away
1087,21619312,52,11,0,away
1087,52391235,84,8,0,home
1087,52391237,84,11,1,away
1089,14958909,45,25,52,home
1089,14958946,84,25,0,home
1089,14958975,34,25,5,home
1089,14958988,83,25,0,home
1089,14959063,34,65,2,away
1089,14959070,45,65,48,away
1089,14959085,84,65,2,away
1089,14959090,83,65,0,away
1095,17279084,1605,65,54,home
1095,17279086,34,22,5,away
1095,17279109,45,65,61,home
1095,17279111,45,22,39,away
1095,17279157,1605,22,50,away
1095,17279164,34,65,6,home
1095,52391262,84,22,2,away
1095,52391260,84,65,1,home
1098,14958275,45,19,65,home
1098,14958334,84,19,1,home
1098,14958377,34,19,7,home
1098,14958397,83,19,0,home
1098,14958459,34,8,8,away
1098,14958465,45,8,35,away
1098,14958482,84,8,4,away
1098,14958491,83,8,0,away
1098,22403472,52,8,0,away
1098,22403480,52,19,0,home
1104,21619338,45,1,49,away
1104,21619243,34,1,2,away
1104,21619160,34,33,4,home
1104,21619109,45,33,51,home
1104,22501486,52,1,1,away
1104,22501485,52,33,3,home
1104,52391259,84,1,1,away
1104,52391254,84,33,1,home
1107,14958284,84,20,6,home
1107,14958310,45,20,26,home
1107,14958349,34,20,0,home
1107,14958365,83,20,1,home
1107,14958434,34,19,9,away
1107,14958439,45,19,74,away
1107,14958449,84,19,1,away
1107,14958454,83,19,0,away
1114,21619206,34,6,11,home
1114,21619155,45,6,75,home
1114,21619439,45,20,25,away
1114,21619298,34,20,4,away
1114,22501488,52,6,0,home
1114,22501487,52,20,1,away
1114,52391269,84,6,1,home
1114,52391270,84,20,2,away
1116,14958493,34,18,7,home
1116,14958503,83,18,0,home
1116,14958550,45,18,63,home
1116,14958563,84,18,1,home
1116,14958633,34,51,7,away
1116,14958640,45,51,37,away
1116,14958654,84,51,1,away
1116,14958661,83,51,0,away
1123,21619118,45,3,35,home
1123,21619183,34,3,0,home
1123,21619289,34,9,14,away
1123,21619425,45,9,65,away
1123,22501490,52,3,1,home
1123,22501489,52,9,0,away
1123,52391275,84,3,0,home
1123,52391276,84,9,1,away
1124,14957852,34,52,4,home
1124,14957858,83,52,0,home
1124,14957929,45,52,56,home
1124,14957935,84,52,2,home
1124,14958049,34,42,4,away
1124,14958065,45,42,44,away
1124,14958084,84,42,4,away
1124,14958092,83,42,0,away
1124,22403446,52,42,1,away
1124,22403450,52,52,1,home
1127,22501493,52,65,1,home
1127,22501494,52,30,1,away
1131,21619311,34,19,6,away
1131,21619291,45,14,38,home
1131,21619221,34,14,5,home
1131,21619415,45,19,62,away
1131,22501491,52,19,0,away
1131,22501492,52,14,1,home
1131,52391271,84,14,2,home
1131,52391273,84,19,3,away
1133,14958024,83,15,0,home
1133,14958068,34,15,5,home
1133,14958163,45,15,62,home
1133,14958173,84,15,2,home
1133,14958266,34,3,4,away
1133,14958279,45,3,38,away
1133,14958294,84,3,1,away
1133,14958305,83,3,0,away
1133,22501496,52,15,2,home
1133,22501495,52,3,2,away
1140,21619737,52,30,3,home
1140,21619574,52,26,3,away
1140,21619937,45,26,29,away
1140,21619472,45,30,71,home
1140,21619613,34,30,14,home
1140,21619768,34,26,3,away
1140,52391284,84,26,3,away
1140,52391282,84,30,5,home
1142,14958758,45,9,58,home
1142,14958768,84,9,1,home
1142,14958781,34,9,9,home
1142,14958800,83,9,0,home
1142,14958854,34,25,3,away
1142,14958861,45,25,42,away
1142,14958877,84,25,2,away
1142,14958884,83,25,0,away
